Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
a321neo,Solo Leisure,Economy Class,London Heathrow to Edinburgh,October 2019,1.0,3.0,1.0,3.0,3.0,1.0,3,1
boeing 777,Couple Leisure,Economy Class,Toronto to London,October 2019,3.0,5.0,5.0,5.0,5.0,1.0,5,1
a380,Couple Leisure,Business Class,San Francisco to London,October 2019,5.0,5.0,5.0,4.0,5.0,1.0,4,1
a319,Solo Leisure,Business Class,London to Belfast,October 2019,5.0,5.0,5.0,3.0,5.0,1.0,5,1
boeing 747400,Business,Business Class,Vancouver to London,October 2019,4.0,1.0,1.0,4.0,3.0,1.0,2,0
a320,Solo Leisure,Economy Class,London to Malaga,October 2019,1.0,1.0,3.0,3.0,1.0,1.0,1,0
a320,Business,Economy Class,Brussels to London,October 2019,4.0,4.0,3.0,3.0,1.0,1.0,2,0
boeing 777,Couple Leisure,Premium Economy,London to Singapore,October 2019,1.0,1.0,1.0,3.0,3.0,1.0,1,0
boeing 787,Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,October 2019,5.0,1.0,2.0,3.0,2.0,1.0,1,0
boeing 787900,Couple Leisure,Business Class,London Heathrow to Seychelles,October 2019,5.0,5.0,5.0,5.0,5.0,1.0,5,1
a321,Couple Leisure,Economy Class,Amman to London,September 2019,4.0,4.0,4.0,4.0,4.0,1.0,4,1
a320,Business,Economy Class,London to Athens,October 2019,3.0,2.0,3.0,3.0,4.0,1.0,2,0
boeing 777,Couple Leisure,Economy Class,New York JFK to London,October 2019,1.0,2.0,1.0,1.0,1.0,1.0,1,0
boeing 777200,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,September 2019,1.0,3.0,1.0,1.0,4.0,1.0,1,0
boeing 7879 a320200,Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,September 2019,5.0,4.0,4.0,4.0,4.0,1.0,3,1
a319,Couple Leisure,Economy Class,Bari to London Gatwick,September 2019,4.0,5.0,4.0,3.0,4.0,1.0,5,1
boeing 787,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,September 2019,1.0,3.0,1.0,3.0,4.0,1.0,1,0
boeing 787900,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,October 2019,5.0,5.0,5.0,4.0,5.0,3.0,4,1
a350,Business,Business Class,Dubai to London Heathrow,September 2019,5.0,5.0,5.0,3.0,5.0,4.0,4,1
a320,Business,Economy Class,London to Athens,October 2019,1.0,3.0,3.0,3.0,1.0,1.0,1,0
a320,Solo Leisure,Economy Class,London Heathrow to Newcastle,October 2019,4.0,4.0,3.0,3.0,5.0,1.0,4,1
boeing 7879,Family Leisure,Economy Class,Kuala Lumpur to London,October 2019,5.0,5.0,5.0,5.0,5.0,1.0,5,1
boeing 747,Couple Leisure,Business Class,Austin to London,October 2019,3.0,3.0,3.0,3.0,3.0,1.0,4,1
boeing 787,Couple Leisure,Premium Economy,London to Kuala Lumpur,August 2019,5.0,4.0,3.0,4.0,4.0,4.0,4,1
a380,Solo Leisure,Premium Economy,Vancouver to London,September 2019,5.0,5.0,4.0,4.0,4.0,1.0,4,1
boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,5.0,4.0,2.0,3.0,1.0,5,1
boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,4.0,4.0,1.0,4.0,1.0,4,1
a320,Couple Leisure,Business Class,Cephalonia to London ,September 2019,3.0,4.0,4.0,3.0,3.0,4.0,3,1
a380,Family Leisure,Economy Class,Chicago to Zurich via London,August 2019,1.0,4.0,1.0,1.0,1.0,1.0,3,0
a321,Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,September 2019,5.0,5.0,3.0,3.0,3.0,1.0,5,1
emb190,Business,Economy Class,London to Geneva,September 2019,4.0,2.0,1.0,3.0,4.0,1.0,2,0
a320,Couple Leisure,Business Class,London to Kefalonia ,September 2019,3.0,2.0,2.0,3.0,3.0,1.0,3,0
boeing 777200,Business,Economy Class,London Heathrow to Abuja Nigeria,September 2019,3.0,4.0,1.0,1.0,1.0,1.0,2,0
boeing 777300,Solo Leisure,Economy Class,London to Bangkok,September 2019,2.0,3.0,4.0,1.0,4.0,1.0,3,0
boeing 747400,Couple Leisure,Business Class,Belfast to San Francisco via London,August 2019,5.0,5.0,5.0,5.0,5.0,1.0,5,1
a319,Couple Leisure,Economy Class,London to Gothenburg,September 2019,4.0,4.0,3.0,3.0,4.0,1.0,4,1
boeing 787  a320,Solo Leisure,Business Class,Mahe to Stockholm via London ,September 2019,1.0,2.0,2.0,4.0,1.0,1.0,2,0
boeing 787,Family Leisure,Economy Class,London to Abu Dhabi,August 2019,3.0,4.0,5.0,5.0,4.0,1.0,4,1
a320,Couple Leisure,Business Class,London to St Petersburgh,August 2019,1.0,3.0,1.0,3.0,5.0,1.0,1,0
boeing 777,Business,Premium Economy,Sydney to London via Singapore,May 2019,4.0,2.0,1.0,2.0,4.0,3.0,3,0
a380,Couple Leisure,Business Class,London to Johannesburg,September 2019,1.0,1.0,3.0,3.0,1.0,1.0,1,0
boeing 777200,Family Leisure,First Class,London to Shanghai,August 2019,5.0,5.0,4.0,3.0,5.0,3.0,5,1
boeing 747,Family Leisure,Premium Economy,Boston to Copenhagen via London,June 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 777200,Business,Business Class,London Gatwick to San Jose Costa Rica,July 2019,1.0,3.0,4.0,1.0,5.0,1.0,1,0
boeing 777,Solo Leisure,Economy Class,London to Dubai,August 2019,3.0,4.0,3.0,3.0,1.0,1.0,3,0
a340300 a320,Family Leisure,Business Class,Toronto to Pisa London Heathrow,August 2019,4.0,5.0,5.0,5.0,5.0,1.0,5,1
a320,Family Leisure,Economy Class,London Heathrow to Venice Marco Polo,August 2019,4.0,5.0,3.0,3.0,4.0,4.0,4,1
a321neo,Family Leisure,Economy Class,London to Larnaca,August 2019,1.0,3.0,3.0,3.0,2.0,1.0,1,0
a320,Family Leisure,Economy Class,London to Munich,August 2019,4.0,4.0,3.0,3.0,2.0,1.0,3,1
a321,Couple Leisure,Business Class,Malaga to London ,August 2019,1.0,2.0,2.0,1.0,1.0,1.0,1,0
a320,Couple Leisure,Business Class,Palma to London Heathrow,August 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a321200,Family Leisure,Economy Class,London Heathrow to Sofia,July 2019,5.0,5.0,4.0,3.0,4.0,1.0,4,1
boeing 777,Couple Leisure,Economy Class,Buenos Aires to London Heathrow,July 2019,3.0,5.0,4.0,2.0,4.0,1.0,4,1
boeing 777300er,Family Leisure,Economy Class,Hong Kong to London,July 2019,4.0,3.0,3.0,3.0,2.0,2.0,3,1
a320,Solo Leisure,Business Class,London Heathrow to Malaga,July 2019,2.0,1.0,1.0,3.0,3.0,1.0,1,0
b777200,Business,Economy Class,London to Delhi,June 2019,1.0,1.0,3.0,2.0,3.0,1.0,2,0
boeing 747400,Family Leisure,Economy Class,London Heathrow to Austin,July 2019,1.0,3.0,1.0,1.0,3.0,1.0,2,0
a320,Business,Business Class,Mykonos to London,July 2019,2.0,1.0,3.0,3.0,1.0,1.0,1,0
boeing 777,Solo Leisure,Premium Economy,London to Dubai,July 2019,5.0,5.0,3.0,5.0,5.0,5.0,5,1
a320,Solo Leisure,Business Class,Brussels to Larnaca via London,June 2019,3.0,4.0,4.0,3.0,4.0,1.0,4,1
a320,Couple Leisure,Business Class,Stockholm to London,July 2019,2.0,1.0,1.0,3.0,3.0,1.0,1,0
boeing 737,Family Leisure,Premium Economy,Orlando to London,July 2019,3.0,4.0,1.0,3.0,3.0,1.0,3,1
a320,Couple Leisure,Business Class,Lisbon to London,July 2019,1.0,1.0,1.0,3.0,2.0,1.0,1,0
a320,Business,Business Class,Madrid to London,July 2019,3.0,1.0,3.0,3.0,1.0,1.0,1,0
a380,Solo Leisure,Economy Class,London Heathrow to Singapore,June 2019,5.0,5.0,5.0,5.0,5.0,1.0,5,1
a321,Business,Economy Class,Madrid to London Heathrow,June 2019,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a319  boeing 789,Business,Economy Class,Hamburg to Abu Dhabi via London Heathrow,June 2019,1.0,2.0,2.0,2.0,1.0,1.0,3,0
boeing 777200 and a319,Solo Leisure,Economy Class,New York to Glasgow via London,June 2019,3.0,3.0,3.0,4.0,3.0,1.0,4,1
a320,Couple Leisure,Business Class,London Heathrow to Larnaca,June 2019,4.0,5.0,5.0,3.0,5.0,1.0,5,1
a320,Solo Leisure,Economy Class,Amsterdam to London,February 2019,3.0,4.0,3.0,3.0,1.0,1.0,1,0
a321 neo,Business,Economy Class,Istanbul to London,June 2019,1.0,4.0,2.0,3.0,4.0,1.0,3,1
a321  boeing 7879,Family Leisure,Economy Class,Manchester to Kuala Lumpur via London ,October 2018,2.0,2.0,2.0,4.0,3.0,3.0,3,0
boeing 787,Solo Leisure,Business Class,London to Seoul ,June 2019,1.0,1.0,2.0,1.0,1.0,1.0,1,0
a380,Solo Leisure,Economy Class,London to Vancouver,June 2019,2.0,4.0,4.0,2.0,3.0,1.0,3,0
boeing 747,Business,Business Class,Miami to Delhi via London Heathrow,June 2019,1.0,3.0,3.0,3.0,2.0,1.0,1,0
boeing 777  747,Solo Leisure,Economy Class,Tel Aviv to New York via London,June 2019,3.0,4.0,1.0,5.0,3.0,1.0,3,0
a319  boeing 777,Solo Leisure,Economy Class,Belfast  to Atlanta via London,April 2019,3.0,4.0,2.0,3.0,3.0,1.0,2,0
boeing 7879,Business,Business Class,London to Nashville,May 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,0
b747400 in retro,Solo Leisure,First Class,London to Washington,June 2019,5.0,5.0,5.0,3.0,5.0,1.0,5,1
boeing 747,Couple Leisure,Economy Class,London to Seattle,May 2019,4.0,5.0,4.0,3.0,5.0,1.0,5,1
a319a320,Business,Economy Class,London to Milan,May 2019,3.0,5.0,3.0,3.0,4.0,1.0,3,1
boeing 787,Couple Leisure,Business Class,London Heathrow to Los Angeles,May 2019,4.0,5.0,5.0,5.0,5.0,1.0,4,1
boeing 744,Couple Leisure,Business Class,Cape Town to London Heathrow,May 2019,3.0,4.0,4.0,3.0,4.0,1.0,3,1
a321,Business,Economy Class,Sofia to Belfast via London,May 2019,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a380  boeing 777,Solo Leisure,Economy Class,Boston to London Heathrow,May 2019,4.0,4.0,3.0,3.0,4.0,1.0,4,1
boeing 747400,Couple Leisure,First Class,London to Cape Town,May 2019,4.0,4.0,4.0,3.0,3.0,1.0,3,1
a321,Business,Economy Class,London to Aberdeen,May 2019,2.0,2.0,3.0,3.0,1.0,1.0,1,0
a380,Couple Leisure,Economy Class,Vancouver to London,May 2019,4.0,5.0,4.0,3.0,4.0,4.0,4,1
boeing 747 400,Business,First Class,Washington to London,May 2019,4.0,4.0,4.0,4.0,3.0,1.0,4,1
embraer,Solo Leisure,Economy Class,Rome Fiumicino to London City,May 2019,5.0,5.0,5.0,3.0,5.0,1.0,5,1
boeing 777200,Business,Business Class,London to Shanghai,April 2019,2.0,1.0,1.0,1.0,3.0,1.0,2,0
boeing 787,Solo Leisure,Business Class,London to Calgary,December 2018,5.0,5.0,5.0,5.0,1.0,1.0,5,1
boeing 747,Couple Leisure,Business Class,Vancouver to London,April 2019,5.0,5.0,5.0,5.0,5.0,1.0,5,1
boeing 777200300,Couple Leisure,Economy Class,London Heathrow to Bengaluru,April 2019,3.0,5.0,4.0,2.0,5.0,1.0,5,1
boeing 747400,Business,Business Class,London to Seattle,April 2019,4.0,2.0,3.0,3.0,3.0,1.0,2,0
a320,Family Leisure,Business Class,London to Gibraltar,April 2019,4.0,5.0,5.0,3.0,4.0,1.0,5,1
boeing 747,Business,Business Class,London to Boston,March 2019,2.0,3.0,4.0,1.0,4.0,1.0,2,0
boeing 7879,Family Leisure,Business Class,London to Doha,April 2019,3.0,4.0,3.0,1.0,5.0,1.0,4,1
boeing 747,Couple Leisure,Economy Class,London Heathrow to Houston,April 2019,5.0,5.0,5.0,4.0,4.0,1.0,4,1
a320,Business,Business Class,Larnaca to London,March 2019,1.0,4.0,4.0,3.0,3.0,1.0,1,0
boeing 7879,Couple Leisure,First Class,London to Tokyo Narita,November 2018,5.0,5.0,5.0,5.0,5.0,1.0,5,1
a380,Solo Leisure,Economy Class,Chicago to London,April 2019,1.0,1.0,1.0,3.0,1.0,1.0,1,0
boeing 7879  a319,Family Leisure,Business Class,Doha to Paris via London,March 2019,5.0,4.0,2.0,2.0,4.0,1.0,3,1
a320 neo,Couple Leisure,Business Class,Madrid to London,March 2019,3.0,5.0,5.0,3.0,4.0,1.0,4,1
boeing 747400,Solo Leisure,Economy Class,London to Vancouver ,March 2019,3.0,5.0,4.0,4.0,4.0,1.0,4,1
boeing 777,Solo Leisure,First Class,London to Mumbai ,March 2019,4.0,5.0,2.0,3.0,4.0,1.0,4,1
boeing 777,Business,First Class,London to Chicago ,March 2019,2.0,2.0,1.0,1.0,2.0,1.0,2,0
a320,Business,Economy Class,London Heathrow to Larnaca Cyprus,March 2019,2.0,3.0,1.0,3.0,1.0,1.0,1,0
boeing 787,Couple Leisure,Business Class,Los Angeles to London,March 2019,4.0,5.0,5.0,5.0,4.0,1.0,5,1
a321,Solo Leisure,Economy Class,Rome to London,March 2019,5.0,4.0,1.0,3.0,5.0,1.0,5,1
a320,Business,Economy Class,London Heathrow to Madrid ,March 2019,5.0,5.0,3.0,3.0,5.0,1.0,5,1
boeing 777,Business,Economy Class,London to Austin,February 2019,4.0,5.0,3.0,4.0,5.0,1.0,4,1
a320,Family Leisure,Business Class,London to Pisa,March 2019,1.0,4.0,2.0,3.0,3.0,1.0,1,0
b777,Couple Leisure,Economy Class,Edinburgh to Boston via London,March 2019,1.0,2.0,1.0,1.0,1.0,1.0,1,0
b747400,Business,Business Class,Chicago to London Heathrow,February 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 747400,Business,First Class,London to Chicago,February 2019,1.0,2.0,1.0,1.0,1.0,1.0,1,0
a380,Business,Business Class,London to Johannesburg,December 2018,2.0,1.0,1.0,3.0,4.0,1.0,1,0
boeing 7879,Business,Economy Class,Doha to London Heathrow,February 2019,3.0,3.0,3.0,2.0,3.0,2.0,3,1
boeing 7879,Business,Premium Economy,London to Seoul,February 2019,5.0,4.0,3.0,3.0,2.0,1.0,4,1
boeing 747400,Family Leisure,Premium Economy,London to New York JFK,February 2019,4.0,5.0,4.0,5.0,5.0,3.0,4,1
boeing 787,Couple Leisure,Economy Class,Baltimore to London Heathrow,February 2019,1.0,1.0,1.0,1.0,2.0,1.0,2,0
a320,Couple Leisure,Economy Class,London to Athens,December 2018,3.0,5.0,1.0,1.0,1.0,1.0,2,0
boeing 787,Couple Leisure,Premium Economy,New Orleans to London,September 2018,5.0,4.0,5.0,5.0,4.0,1.0,5,1
boeing 7879,Couple Leisure,Business Class,Tokyo Narita to London Heathrow,January 2019,4.0,3.0,5.0,5.0,5.0,1.0,4,1
boeing 777,Couple Leisure,First Class,London to Tokyo Haneda,January 2019,5.0,5.0,5.0,5.0,5.0,1.0,4,1
a320,Couple Leisure,Economy Class,Edinburgh to London Gatwick,January 2019,3.0,4.0,3.0,3.0,5.0,1.0,4,1
a320,Family Leisure,Economy Class,London Heathrow to Paris CDG,November 2018,3.0,4.0,4.0,2.0,4.0,1.0,4,1
a380,Family Leisure,Business Class,Johannesburg to London,February 2019,3.0,3.0,3.0,4.0,3.0,4.0,3,1
a380  a319,Solo Leisure,Economy Class,Berlin to Johannesburg via London,March 2018,3.0,3.0,2.0,3.0,4.0,1.0,4,1
boeing 777,Family Leisure,Economy Class,New York JFK to London Heathrow,August 2018,3.0,4.0,3.0,2.0,3.0,1.0,3,1
a380,Couple Leisure,First Class,Johannesburg to London ,January 2019,4.0,3.0,3.0,3.0,3.0,3.0,3,1
a380,Couple Leisure,Business Class,London to Johannesburg ,January 2019,3.0,4.0,4.0,3.0,3.0,1.0,3,1
a380,Family Leisure,Business Class,London to Johannesburg,January 2019,4.0,5.0,4.0,5.0,4.0,4.0,4,1
a380,Solo Leisure,Premium Economy,Miami to London,January 2019,3.0,4.0,1.0,3.0,3.0,3.0,3,0
a321,Solo Leisure,Economy Class,Copenhagen to Amsterdam via London Heathrow,February 2018,5.0,5.0,3.0,3.0,2.0,1.0,5,1
boeing 787,Solo Leisure,Economy Class,Bucharest to London Heathrow to Los Angeles,January 2019,1.0,5.0,2.0,1.0,5.0,1.0,1,0
boeing 747,Business,Business Class,London to Miami,January 2019,1.0,2.0,1.0,1.0,3.0,1.0,1,0
boeing 787 dreamliner,Business,Premium Economy,London to Calgary,June 2018,3.0,3.0,3.0,4.0,4.0,3.0,2,1
boeing 787,Business,Premium Economy,Calgary to London,June 2018,3.0,4.0,3.0,3.0,3.0,3.0,2,0
boeing 777200,Business,Premium Economy,Bangalore to London,January 2019,2.0,2.0,2.0,1.0,2.0,1.0,1,0
777,Couple Leisure,Economy Class,San Francisco to London,January 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a320,Solo Leisure,Economy Class,London to Bucharest,January 2019,1.0,4.0,1.0,1.0,5.0,1.0,3,0
a319,Business,Economy Class,Stuttgart to London,October 2018,1.0,1.0,3.0,3.0,1.0,1.0,1,0
boeing 777200,Couple Leisure,Economy Class,London to Boston,December 2018,1.0,5.0,4.0,4.0,4.0,1.0,4,1
boeing 747400,Couple Leisure,Economy Class,Boston to London,December 2018,2.0,3.0,5.0,5.0,4.0,1.0,4,1
airbus a320,Couple Leisure,Economy Class,London to Athens,December 2018,4.0,1.0,3.0,3.0,2.0,1.0,4,0
a380,Couple Leisure,Economy Class,London to Johannesburg,January 2019,5.0,5.0,5.0,5.0,5.0,1.0,5,1
boeing 7879  777 ,Solo Leisure,Premium Economy,Newark to Bangalore via London,December 2018,4.0,4.0,4.0,4.0,4.0,1.0,3,1
boeing 777,Solo Leisure,Economy Class,London to Mumbai,December 2018,5.0,5.0,5.0,3.0,5.0,1.0,4,1
a319,Solo Leisure,Economy Class,Leeds Bradford to London Heathrow,December 2018,3.0,5.0,3.0,3.0,5.0,1.0,4,1
a380,Couple Leisure,Business Class,Johannesburg to London,November 2018,1.0,1.0,1.0,3.0,2.0,1.0,1,0
boeing 787,Solo Leisure,Economy Class,London to Kuala Lumpur,December 2018,1.0,4.0,3.0,1.0,5.0,1.0,1,0
boeing 747,Solo Leisure,Economy Class,Los Angeles to London Heathrow,December 2018,2.0,2.0,1.0,4.0,1.0,1.0,2,0
boeing 7879,Solo Leisure,First Class,Moscow to London,December 2018,5.0,5.0,5.0,5.0,5.0,1.0,5,1
a319  boeing 777,Couple Leisure,Economy Class,Glasgow to New York via London,December 2018,4.0,5.0,5.0,5.0,4.0,2.0,4,1
boeing 777,Business,Business Class,Sydney to London via Singapore,December 2018,1.0,1.0,1.0,1.0,2.0,1.0,1,0
a380,Couple Leisure,First Class,Johannesburg to London,December 2018,4.0,3.0,3.0,2.0,3.0,1.0,3,0
boeing 747400,Couple Leisure,Business Class,Cape Town to London,November 2018,2.0,1.0,1.0,3.0,3.0,1.0,1,0
a320,Couple Leisure,Economy Class,Bucharest to London,December 2018,1.0,1.0,3.0,3.0,1.0,1.0,1,0
boeing 747400,Family Leisure,Economy Class,Miami to London,December 2018,1.0,1.0,1.0,1.0,3.0,1.0,1,0
boeing 777,Couple Leisure,Premium Economy,Nassau to London,November 2018,2.0,3.0,1.0,1.0,3.0,1.0,1,0
boeing 747,Business,Business Class,Phoenix to Accra via London,November 2018,5.0,5.0,5.0,3.0,5.0,1.0,5,1
boeing 777,Solo Leisure,Economy Class,San Diego to Hannover via London,November 2018,2.0,4.0,4.0,4.0,2.0,1.0,2,0
a380,Couple Leisure,First Class,London to Johannesburg,November 2018,5.0,5.0,5.0,4.0,4.0,1.0,4,1
boeing 747400,Family Leisure,Economy Class,Vancouver to London Heathrow,November 2018,5.0,5.0,4.0,2.0,5.0,1.0,4,1
a320,Solo Leisure,Business Class,Stockholm to London,November 2018,3.0,5.0,2.0,3.0,1.0,1.0,3,1
boeing 777200,Couple Leisure,Economy Class,Buenos Aires to London,November 2018,1.0,2.0,1.0,1.0,1.0,1.0,1,0
boeing 777,Business,Business Class,Riyadh to London,November 2018,1.0,2.0,2.0,3.0,3.0,1.0,1,0
a319,Solo Leisure,Economy Class,Aberdeen to London,November 2018,3.0,4.0,3.0,3.0,1.0,1.0,1,0
a320,Family Leisure,Economy Class,London to Budapest,November 2018,5.0,1.0,3.0,3.0,5.0,1.0,5,0
a321,Solo Leisure,Economy Class,London to Athens,October 2018,4.0,3.0,2.0,2.0,3.0,1.0,3,1
boeing 777200,Solo Leisure,Business Class,London to Bangkok,October 2018,3.0,3.0,2.0,1.0,3.0,1.0,2,0
a340300,Solo Leisure,Economy Class,Abu Dhabi to London,October 2018,2.0,1.0,1.0,1.0,3.0,1.0,3,0
a319  boeing 747,Solo Leisure,Business Class,Newcastle to Las Vegas via London,October 2018,4.0,4.0,4.0,3.0,4.0,1.0,5,1
a320,Solo Leisure,Economy Class,St Petersburg to London,October 2018,5.0,5.0,3.0,3.0,5.0,1.0,3,1
boeing 7879,Business,Business Class,London to Philadelphia,October 2018,1.0,1.0,2.0,3.0,2.0,1.0,1,0
boeing 777200,Business,Business Class,Madrid to London,October 2018,4.0,5.0,4.0,3.0,4.0,1.0,4,1
a321,Family Leisure,Economy Class,London to Munich,October 2018,2.0,3.0,3.0,3.0,3.0,1.0,3,1
boeing 747400,Couple Leisure,Economy Class,London to Cape Town,October 2018,2.0,1.0,2.0,3.0,1.0,1.0,1,0
a321,Family Leisure,Economy Class,Munich to London Heathrow,October 2018,2.0,4.0,3.0,3.0,5.0,1.0,3,1
a319  boeing 747400,Solo Leisure,First Class,Manchester to Philadelphia via London,October 2018,5.0,5.0,4.0,4.0,5.0,1.0,5,1
boieng 777200,Business,Economy Class,Bangkok to London,October 2018,3.0,2.0,2.0,3.0,1.0,1.0,2,0
boeing 777,Solo Leisure,Economy Class,London to Toronto,October 2018,1.0,3.0,3.0,2.0,2.0,1.0,1,0
a320,Business,Economy Class,London to Vienna,October 2018,2.0,3.0,3.0,3.0,2.0,1.0,2,0
a380,Business,Business Class,Johannesburg to London,October 2018,2.0,2.0,1.0,1.0,4.0,1.0,2,0
boeing 777300er,Solo Leisure,Business Class,Singapore to London Heathrow,September 2018,4.0,5.0,3.0,2.0,3.0,1.0,3,1
boeing 747400,Couple Leisure,Business Class,London to Los Angeles,August 2018,1.0,1.0,1.0,1.0,3.0,1.0,3,0
boeing 747,Solo Leisure,Premium Economy,Miami to London Heathrow,September 2018,1.0,5.0,3.0,2.0,1.0,1.0,2,0
boeing 747400,Family Leisure,Economy Class,London Heathrow to Miami,August 2018,5.0,5.0,5.0,4.0,4.0,1.0,5,1
a380,Solo Leisure,Economy Class,London to Singapore,September 2018,5.0,5.0,5.0,4.0,4.0,1.0,5,1
a321,Family Leisure,Business Class,London to Pisa,September 2018,1.0,4.0,4.0,3.0,4.0,1.0,1,0
boeing 7879 a380,Business,Premium Economy,Kuala Lumpur to London Heathrow,September 2018,3.0,4.0,3.0,3.0,5.0,1.0,4,1
a319,Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow ,June 2018,4.0,4.0,4.0,3.0,1.0,2.0,3,0
a320,Couple Leisure,Business Class,Brindisi to London,September 2018,1.0,2.0,2.0,3.0,1.0,1.0,2,0
a380,Couple Leisure,Premium Economy,Chicago to London,September 2018,1.0,1.0,1.0,1.0,3.0,1.0,1,0
boeing 777,Solo Leisure,Premium Economy,Riyadh to London ,August 2018,5.0,5.0,5.0,4.0,3.0,1.0,5,1
a320  boeing 7879,Couple Leisure,Economy Class,Rome to Newark via London,September 2018,4.0,4.0,3.0,3.0,4.0,1.0,3,1
boeing 747400,Business,Business Class,London Heathrow to New York JFK,September 2018,3.0,4.0,2.0,3.0,1.0,5.0,3,0
boeing 777200,Couple Leisure,First Class,London Heathrow to Dubai,September 2018,4.0,5.0,5.0,3.0,4.0,2.0,4,1
boeing 767,Solo Leisure,Business Class,Madrid to London Heathrow,September 2018,3.0,5.0,5.0,3.0,5.0,1.0,5,1
a321,Couple Leisure,Business Class,London Heathrow to Brindisi,September 2018,2.0,3.0,2.0,3.0,2.0,1.0,3,0
a320,Business,Economy Class,London to Madrid,July 2018,2.0,3.0,1.0,3.0,2.0,1.0,2,0
boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,August 2018,3.0,5.0,5.0,2.0,4.0,1.0,4,1
airbus a32,Solo Leisure,Economy Class,London Heathrow to Budapest,August 2018,5.0,5.0,3.0,3.0,4.0,1.0,4,1
a320,Solo Leisure,Economy Class,Budapest to London Heathrow,September 2018,4.0,4.0,3.0,3.0,5.0,1.0,4,1
a319  boeing 7879,Family Leisure,Business Class,Pisa to Toronto via London,September 2018,4.0,5.0,5.0,4.0,5.0,1.0,5,1
boeing 747400  a319,Solo Leisure,Economy Class,Washington to Frankfurt via London,August 2018,3.0,3.0,2.0,1.0,4.0,1.0,2,0
a380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,August 2018,5.0,5.0,3.0,5.0,4.0,1.0,3,1
a318,Solo Leisure,Economy Class,London Heathrow to Düsseldorf,August 2018,5.0,4.0,3.0,3.0,5.0,1.0,4,1
a320,Couple Leisure,Business Class,London to Athens,August 2018,1.0,3.0,2.0,1.0,2.0,1.0,3,0
a380,Family Leisure,First Class,London Heathrow to Singapore,July 2018,5.0,5.0,5.0,4.0,5.0,1.0,5,1
boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,August 2018,3.0,1.0,1.0,3.0,4.0,1.0,3,0
boeing 747400,Family Leisure,Economy Class,London to Las Vegas,July 2018,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a380,Family Leisure,Business Class,Los Angeles to Milan via London,August 2018,4.0,3.0,3.0,3.0,1.0,1.0,1,0
boeing 777,Solo Leisure,Premium Economy,Toronto to London,August 2018,3.0,5.0,2.0,2.0,4.0,1.0,3,1
a380,Couple Leisure,Business Class,San Francisco to London Heathrow,July 2018,4.0,5.0,4.0,1.0,4.0,1.0,4,0
a321,Couple Leisure,Economy Class,London to Paris,January 2018,3.0,5.0,5.0,3.0,4.0,1.0,3,1
a320,Couple Leisure,Economy Class,Amsterdam to London,June 2018,3.0,5.0,4.0,3.0,4.0,1.0,4,1
boeing 777,Solo Leisure,First Class,New York JFK to London,August 2018,4.0,5.0,3.0,3.0,5.0,1.0,4,0
boeing 747400,Family Leisure,Business Class,New York to Nairobi via London,July 2018,2.0,5.0,2.0,2.0,2.0,1.0,2,0
boeing 7879,Business,Premium Economy,London to Santiago de Chile,July 2018,4.0,5.0,4.0,4.0,4.0,1.0,5,1
boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle Tacoma,July 2018,4.0,4.0,4.0,2.0,4.0,1.0,4,0
a320200,Family Leisure,Economy Class,London Gatwick to Tirana Rinas,July 2018,4.0,4.0,3.0,3.0,5.0,1.0,3,1
a320,Couple Leisure,Economy Class,London to Murcia ,July 2018,5.0,5.0,5.0,3.0,3.0,1.0,5,1
a321,Solo Leisure,Business Class,London to Amsterdam,July 2018,3.0,4.0,3.0,3.0,1.0,1.0,1,0
boeing 777,Family Leisure,Economy Class,Aberdeen to Abu Dhabi via London,July 2018,3.0,1.0,1.0,4.0,1.0,1.0,3,0
a320  boeing 747400,Solo Leisure,Economy Class,Prague to Denver via London,June 2018,3.0,5.0,5.0,3.0,1.0,1.0,2,0
