Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
a321,Couple Leisure,Economy Class,London to Reykjavik,May 2022,3.0,4.0,1.0,3.0,1.0,1.0,4,1
a321,Business,Economy Class,Belfast to London,July 2022,4.0,5.0,2.0,3.0,2.0,1.0,4,1
a350,Family Leisure,Business Class,London to Los Angeles,July 2022,4.0,4.0,4.0,5.0,5.0,5.0,4,1
a320 boeing 787,Solo Leisure,Premium Economy,Venice to Baltimore via London Heathrow,July 2022,3.0,3.0,3.0,2.0,1.0,1.0,2,0
a350,Couple Leisure,Economy Class,London Heathrow to Johannesburg,June 2022,1.0,3.0,3.0,2.0,2.0,1.0,4,0
a350,Business,Economy Class,London to Johannesburg,June 2022,1.0,4.0,1.0,2.0,3.0,1.0,2,0
a320,Couple Leisure,Economy Class,Paris CDG to London Heathrow,June 2022,1.0,4.0,1.0,1.0,2.0,1.0,1,0
a320,Business,Business Class,London to Malaga,June 2022,3.0,2.0,2.0,3.0,2.0,3.0,3,0
a380,Solo Leisure,Economy Class,Vancouver to London,June 2022,1.0,2.0,1.0,3.0,2.0,1.0,3,0
boeing 777200,Couple Leisure,Business Class,London to san Francisco,June 2022,4.0,4.0,3.0,5.0,2.0,4.0,4,1
boeing 777,Couple Leisure,Premium Economy,Cancun to London Gatwick,June 2022,4.0,3.0,2.0,4.0,3.0,1.0,3,0
a320,Couple Leisure,Business Class,London to Thira,June 2022,5.0,5.0,5.0,3.0,5.0,1.0,5,1
a380,Solo Leisure,Business Class,Vancouver to London,June 2022,4.0,5.0,3.0,4.0,2.0,4.0,5,1
boeing 777300er,Business,Economy Class,London to Boston,May 2022,4.0,5.0,5.0,3.0,5.0,5.0,3,1
boeing 777,Couple Leisure,Business Class,Johannesburg to London Heathrow,April 2022,4.0,4.0,3.0,3.0,3.0,1.0,3,1
boeing 777300,Family Leisure,Economy Class,Bridgetown to London ,May 2022,1.0,5.0,1.0,3.0,3.0,1.0,1,0
a320,Solo Leisure,Economy Class,London Heathrow to Malaga,May 2022,3.0,2.0,1.0,1.0,1.0,1.0,3,0
a320,Couple Leisure,Business Class,Athens to London,May 2022,2.0,4.0,3.0,3.0,3.0,2.0,2,0
boeing 787,Solo Leisure,Premium Economy,London to Mexico City,April 2022,5.0,4.0,4.0,3.0,4.0,1.0,4,1
boeing 777,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May 2022,5.0,5.0,5.0,5.0,5.0,3.0,5,1
boeing 777,Solo Leisure,Economy Class,London to Cape Town,April 2022,2.0,1.0,2.0,3.0,1.0,1.0,1,0
a321 neo,Family Leisure,Business Class,Madrid to London Heathrow,April 2022,3.0,5.0,5.0,3.0,5.0,1.0,4,1
a320,Couple Leisure,Business Class,Dubrovnik to London Heathrow,April 2022,4.0,5.0,5.0,3.0,5.0,1.0,5,1
a320,Solo Leisure,Business Class,Pisa to London Heathrow,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a320,Couple Leisure,Economy Class,Gothenburg to Manchester via London,April 2022,3.0,3.0,1.0,3.0,1.0,1.0,1,0
boeing 787,Solo Leisure,Business Class,Chicago to London,March 2022,5.0,5.0,5.0,4.0,3.0,1.0,4,1
a380,Family Leisure,Economy Class,Glasgow to Washington via London,April 2022,4.0,5.0,4.0,3.0,4.0,3.0,3,1
a320neo,Business,Business Class,Malaga to London,April 2022,2.0,4.0,2.0,3.0,2.0,1.0,2,0
a320  boeing 777,Couple Leisure,Business Class,Phoenix to Paris via London,April 2022,3.0,2.0,2.0,1.0,2.0,1.0,2,0
boeing 777200,Business,Business Class,Phoenix to London Heathrow,April 2022,5.0,5.0,5.0,5.0,4.0,3.0,5,1
embraer,Solo Leisure,Business Class,Edinburgh to London City,April 2022,5.0,5.0,5.0,3.0,5.0,1.0,4,1
boeing 777200er,Solo Leisure,Business Class,Vancouver to London,March 2022,4.0,4.0,4.0,4.0,2.0,5.0,5,1
a319,Couple Leisure,Business Class,London to Venice,March 2022,2.0,4.0,2.0,3.0,2.0,1.0,3,1
a320,Business,Business Class,London to Barcelona,April 2022,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a320,Business,Business Class,Geneva to London,April 2022,4.0,5.0,4.0,3.0,1.0,3.0,4,0
boeing 777,Couple Leisure,Business Class,London to Barbados,March 2022,4.0,5.0,4.0,2.0,4.0,1.0,4,1
boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,March 2022,3.0,3.0,1.0,3.0,3.0,1.0,1,0
a320,Business,Business Class,London to Malaga,March 2022,2.0,1.0,2.0,1.0,1.0,1.0,1,0
boeing 777200,Couple Leisure,Business Class,Cape Town to London,March 2022,2.0,1.0,1.0,2.0,3.0,1.0,2,0
boeing 7879,Couple Leisure,Economy Class,London to Austin,March 2022,4.0,1.0,1.0,1.0,1.0,1.0,3,0
boeing 787900,Solo Leisure,First Class,Singapore to London,March 2022,5.0,1.0,1.0,4.0,2.0,1.0,2,0
a321neo,Business,Business Class,London Heathrow to Sofia,August 2021,3.0,5.0,2.0,3.0,1.0,1.0,2,0
boeing 777,Solo Leisure,Premium Economy,Cape Town to Glasgow via London,February 2022,3.0,3.0,2.0,3.0,2.0,1.0,3,1
boeing 777200,Couple Leisure,Business Class,London to Cape Town,March 2022,3.0,3.0,2.0,1.0,3.0,1.0,3,0
a320,Couple Leisure,Business Class,Lisbon to London,February 2022,1.0,3.0,1.0,3.0,3.0,1.0,1,0
a350,Solo Leisure,Premium Economy,Vancouver to London,February 2022,4.0,5.0,5.0,5.0,4.0,4.0,5,1
a320,Business,Business Class,London to Malaga,February 2022,3.0,3.0,2.0,3.0,3.0,3.0,2,0
a322,Business,Economy Class,London to Athens,February 2022,2.0,3.0,1.0,3.0,1.0,1.0,1,0
boeing 7879,Family Leisure,Business Class,Washington to London,February 2022,4.0,5.0,4.0,4.0,5.0,4.0,4,1
boeing 7879,Family Leisure,Business Class,London to Washington,February 2022,4.0,5.0,5.0,4.0,5.0,5.0,4,1
boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,January 2022,3.0,4.0,2.0,4.0,3.0,1.0,3,1
